0	16	1	0	1
1	17	1	1	1
2	18	1	2	1
3	19	1	3	1
4	20	1	4	1
5	21	1	5	1
6	22	1	6	1
7	23	1	7	1
8	24	1	8	1
9	25	1	9	1
10	26	1	10	1
11	27	1	11	1
12	28	1	12	1
13	29	1	13	1
14	30	1	14	1
15	31	1	15	1
16	48	1	32	1
17	49	1	33	1
18	50	1	34	1
19	51	1	35	1
20	52	1	36	1
21	53	1	37	1
22	54	1	38	1
23	55	1	39	1
24	56	1	40	1
25	57	1	41	1
26	58	1	42	1
27	59	1	43	1
28	60	1	44	1
29	61	1	45	1
30	62	1	46	1
31	63	1	47	1
32	80	1	64	1
33	81	1	65	1
34	82	1	66	1
35	83	1	67	1
36	84	1	68	1
37	85	1	69	1
38	86	1	70	1
39	87	1	71	1
40	88	1	72	1
41	89	1	73	1
42	90	1	74	1
43	91	1	75	1
44	92	1	76	1
45	93	1	77	1
46	94	1	78	1
47	95	1	79	1
48	112	1	96	1
49	113	1	97	1
50	114	1	98	1
51	115	1	99	1
52	116	1	100	1
53	117	1	101	1
54	118	1	102	1
55	119	1	103	1
56	120	1	104	1
57	121	1	105	1
58	122	1	106	1
59	123	1	107	1
60	124	1	108	1
61	125	1	109	1
62	126	1	110	1
63	127	1	111	1
64	144	1	128	1
65	145	1	129	1
66	146	1	130	1
67	147	1	131	1
68	148	1	132	1
69	149	1	133	1
70	150	1	134	1
71	151	1	135	1
72	152	1	136	1
73	153	1	137	1
74	154	1	138	1
75	155	1	139	1
76	156	1	140	1
77	157	1	141	1
78	158	1	142	1
79	159	1	143	1
80	176	1	160	1
81	177	1	161	1
82	178	1	162	1
83	179	1	163	1
84	180	1	164	1
85	181	1	165	1
86	182	1	166	1
87	183	1	167	1
88	184	1	168	1
89	185	1	169	1
90	186	1	170	1
91	187	1	171	1
92	188	1	172	1
93	189	1	173	1
94	190	1	174	1
95	191	1	175	1
