0	0	0	-209.6935	680.1362	-54.5	632.094942	611.228502	0.041792	-54.532113	0.043073	-62.20609	121.947515	136.872133
0	1	1	-209.6935	680.1362	-33.5	632.36824	612.288564	0.041772	-55.711456	0.042879	-61.799088	124.166748	136.802583
0	2	2	-209.6935	680.1362	-12.5	631.524464	612.609362	0.041603	-55.570596	0.043437	-62.209779	123.891555	137.378167
0	3	3	-209.6935	680.1362	8.5	631.278811	613.535914	0.041528	-56.261631	0.043402	-61.670665	125.19668	135.844934
0	4	4	-209.6935	680.1362	29.5	630.27243	613.995527	0.04157	-56.425274	0.043169	-60.822716	125.697422	134.169681
0	5	5	-209.6935	680.1362	50.5	629.773742	614.403485	0.041449	-56.429363	0.043246	-60.405753	125.936749	133.193843
1	0	6	-181.0677	680.1362	-54.5	633.170719	611.588563	0.052841	-74.445735	0.04923	-70.596476	161.536118	153.349333
1	1	7	-181.0677	680.1362	-33.5	633.196349	612.290693	0.05248	-74.469593	0.048825	-69.399417	161.652317	151.715259
1	2	8	-181.0677	680.1362	-12.5	632.742735	613.004422	0.052458	-74.897789	0.049341	-69.92012	162.450794	152.26625
1	3	9	-181.0677	680.1362	8.5	632.452869	613.776189	0.052379	-75.542403	0.049372	-69.762522	163.406841	151.841259
1	4	10	-181.0677	680.1362	29.5	631.562224	614.307438	0.051979	-74.949433	0.049843	-70.147985	162.539803	152.408554
1	5	11	-181.0677	680.1362	50.5	630.953814	614.608898	0.051469	-74.124729	0.049072	-68.195267	160.958817	148.787891
2	0	12	-152.4419	680.1362	-54.5	635.091903	617.723732	0.05133	-73.560753	0.048519	-67.60428	159.724074	148.369501
2	1	13	-152.4419	680.1362	-33.5	634.451206	618.29547	0.05105	-73.567997	0.049268	-68.391205	159.891024	149.651623
2	2	14	-152.4419	680.1362	-12.5	633.476145	618.791596	0.05098	-73.731701	0.049724	-68.489189	160.021228	149.35087
2	3	15	-152.4419	680.1362	8.5	632.843201	619.414599	0.050747	-73.858316	0.049937	-68.200599	160.324301	148.972545
2	4	16	-152.4419	680.1362	29.5	631.93323	619.534208	0.051168	-74.966403	0.050345	-68.225763	162.530551	148.77568
2	5	17	-152.4419	680.1362	50.5	631.511908	619.849778	0.050308	-73.854123	0.050664	-68.237618	160.47349	149.067567
3	0	18	-123.8161	680.1362	-54.5	635.273603	617.340685	0.0505	-75.096506	0.049382	-68.414567	163.041949	149.610609
3	1	19	-123.8161	680.1362	-33.5	635.268886	617.907762	0.050693	-76.307417	0.049403	-68.407432	164.8663	149.360204
3	2	20	-123.8161	680.1362	-12.5	634.423997	618.502803	0.050312	-75.82625	0.049973	-68.815958	164.243725	149.950284
3	3	21	-123.8161	680.1362	8.5	633.872629	619.488596	0.049305	-74.39396	0.04923	-66.8122	161.883359	146.349749
3	4	22	-123.8161	680.1362	29.5	633.409226	619.551839	0.049891	-75.936383	0.04971	-67.413357	164.362146	147.155103
3	5	23	-123.8161	680.1362	50.5	632.789241	619.919269	0.049992	-76.592488	0.050616	-68.374021	165.999953	149.351542
4	0	24	-95.1903	680.1362	-54.5	0	0	0	0	0	0	0	0
4	1	25	-95.1903	680.1362	-33.5	0	0	0	0	0	0	0	0
4	2	26	-95.1903	680.1362	-12.5	0	0	0	0	0	0	0	0
4	3	27	-95.1903	680.1362	8.5	0	0	0	0	0	0	0	0
4	4	28	-95.1903	680.1362	29.5	0	0	0	0	0	0	0	0
4	5	29	-95.1903	680.1362	50.5	0	0	0	0	0	0	0	0
5	0	30	-66.5645	680.1362	-54.5	635.874964	617.911374	0.049468	-71.44475	0.04674	-67.583279	156.027204	148.361361
5	1	31	-66.5645	680.1362	-33.5	635.327763	618.407784	0.050935	-75.176307	0.048806	-71.418635	162.633025	155.462271
